law_name,section_ref,heading,body,body_clean,source,source_url,amended_up_to
Code of Criminal Procedure 1898,1,Short Title and Commencement,"1. Short Title and Commencement: (1) This Act may be called the Code of Criminal
Procedure, 1898; and it shall come into force on the first day of July 1898.
(2) Extent: It extends to the whole of, Pakistan but, in the absence of any specific
provision to the contrary, nothing herein, contained shall affect any special or local law,
new in force, or any special jurisdiction or power conferred or any special form of
procedure prescribe by any other law for the time being in force.","1. Short Title and Commencement: (1) This Act may be called the Code of Criminal
Procedure, 1898; and it shall come into force on the first day of July 1898.
(2) Extent: It extends to the whole of, Pakistan but, in the absence of any specific
provision to the contrary, nothing herein, contained shall affect any special or local law,
new in force, or any special jurisdiction or power conferred or any special form of
procedure prescribe by any other law for the time being in force.",Official CrPC (verified copy),https://www.fmu.gov.pk/docs/laws/Code_of_criminal_procedure_1898.pdf,2017-02-16
Code of Criminal Procedure 1898,2,"[Repeal of enactments, notifications, etc., under repealed Acts, Pending cases]","2. [Repeal of enactments, notifications, etc., under repealed Acts, Pending cases]:
Repealed by the Repealing and Amending Act, 1914 (X of 1914).","2. [Repeal of enactments, notifications, etc., under repealed Acts, Pending cases]:
Repealed by the Repealing and Amending Act, 1914 (X of 1914).",Official CrPC (verified copy),https://www.fmu.gov.pk/docs/laws/Code_of_criminal_procedure_1898.pdf,2017-02-16
Code of Criminal Procedure 1898,3,References to Code of Criminal Procedure and other repealed enactments (1) In,"3. References to Code of Criminal Procedure and other repealed enactments (1) In
every enactment passed before this Code comes into force in which reference is made
to, or to any Chapter or section of the Code of Criminal Procedure, Act XXV of 1861 or Act
X Of 1872, or Act X of 1882, or to any other enactment hereby repealed, such, reference
so far as may be practical be taken to be made to this Code or to its corresponding
chapter or section.
(2) Expressions in former Acts: In every enactment passed before this Code comes into
force, the expressions ""Officer exercising (or 'having') the powers (or the full powers) of a
Magistrate,"" “Subordinate Magistrate First Class"" and ""Subordinate Magistrate, Second
class"" shall respectively be deemed to mean ""Magistrate of the First class"", ""Magistrate
of the Second Class"" and Magistrate of the Third Class"".
And the expression “joint Sessions Judge” shall mean ""Additional Sessions Judge"".","3. References to Code of Criminal Procedure and other repealed enactments (1) In
every enactment passed before this Code comes into force in which reference is made
to, or to any Chapter or section of the Code of Criminal Procedure, Act XXV of 1861 or Act
X Of 1872, or Act X of 1882, or to any other enactment hereby repealed, such, reference
so far as may be practical be taken to be made to this Code or to its corresponding
chapter or section.
(2) Expressions in former Acts: In every enactment passed before this Code comes into
force, the expressions ""Officer exercising (or 'having') the powers (or the full powers) of a
Magistrate,"" “Subordinate Magistrate First Class"" and ""Subordinate Magistrate, Second
class"" shall respectively be deemed to mean ""Magistrate of the First class"", ""Magistrate
of the Second Class"" and Magistrate of the Third Class"".
And the expression “joint Sessions Judge” shall mean ""Additional Sessions Judge"".",Official CrPC (verified copy),https://www.fmu.gov.pk/docs/laws/Code_of_criminal_procedure_1898.pdf,2017-02-16
Code of Criminal Procedure 1898,4,Definitions,"4. Definitions: (1) In this Code the following words and expressions have the following
meanings, unless a different intention appears from the subject or content:-
(a)""Advocate-General”: ""Advocate-General” includes also a Government Advocate or,
where there is no Advocate-General or Government Advocate, such officer as the
Provincial Government may, from time to time, appoint in this behalf.
(b) ""Bailable offence, ""non-bailable offence"": ""Bailable offence"" means an offence
shown as bailable in the Second Schedule or which is made bailable by any other law for
the time being in force; and ""non-bailable offence means any other offence.
(c) Charge: ""Charge"" includes any head of charge when the charge contains more than
one.
(d) [Rep. by Act (XI of 1923), section 3 and Schd. I]
(e) [Omitted by Law Reforms Ordinance (XII of 1972), Schd. Item I].
(f) ''Cognizable offence"" , ""cognizable case"": ""Cognizable offence"" means an offence
for, and cognizable case"" means a ease in which a police officer, may, in accordance with
the second Schedule or under any law for the time being in force, arrest without warrant.
(g) [Rep. by the A.O. 1949]
(h) .''Complaint”: Complaint means the allegation made
orally or in writing to a Magistrate, with a view to his taking action, under this Code that
some person whether known or unknown, has committed an offence, but it does not
include the report of a police officer.
(i) [Rep. by the Act II of 1950]
(j) ""High Court"": ""High Court"" means the highest Court of criminal appeal or revision for a
province,
(k) Inquiry"": ""Inquiry"" includes every inquiry other that a trial conducted under this Code
by a Magistrate or Court.
(l) ""Investigation"": -Investigation"" includes all the proceedings under this Code for the
collection of evidence conducted by a police officer or by any person (other than a
Magistrate) who is authorised by a Magistrate in this behalf.
(m) “Judicial Proceeding"": ""Judicial proceeding"" includes any proceeding in the course
of which evidence is or may be legally taken on oath.
(m-a) ""Magistrate"" means a Judicial Magnate and includes a Special Judicial Magistrate
appointed under Sections 12 and 14.
Clause m-a inserted. by Ordinance, XXXVII of 2001, dt.l3-8-2001.
(n) ""Non-cognizable offence,"" ""Non-cognizable case"": ""Non-cognizable offence means
an offence for, and ""non-cognizable case"" means a case in which a police officer, may not
arrest with our warrant.
(o) ""Offence"": ""Offence"" means any act or omission made punishable by any law for the
time being in force; it also includes any act in respect of which a complainant may be
made under Section 20 of the Cattle Trespass Act, 1871.
(p) ""Officer incharge of a police station"": ""Officer incharge of a police station"" induces,
when the officer incharge of the police station is-absent from tile station house or unable
from illness or cause to perform his duties, the police officer present at the station house
who is next in rank to such officer and is above the rank of constable or when the
Provincial Government so directs, any other police officer so present.
(q) ""Place"": ""Place"" includes also a house, building, tent and vessel.
(r) ""Pleader"": ""Pleader"" used with reference to any proceeding in any Court means a
pleader for a mukhtar authorised under any law for the time being in
force to practise in such Court, and includes (1) an advocate, a vakil and an attorney of a
High Court so authorised and (2) any other .person appointed with permission of the court
to act in such proceeding.
(s) ""Police station"": “Police Station” means any post or place declared, generally or
specially, by the Provincial Government to be a police station, and includes any local area
specified by the Provincial Government in this behalf.
(t) ""Public Prosecutor"": ""Public Prosecutor” means any person appointed under Section
492, and includes any person acting under the directions of a Public Prosecutor and any
person conducting a prosecution on behalf of the State in any High Court in the exercise
of its original criminal jurisdiction.
(u) ""Sub-division"": Sub-division means a sub-division
of a district.
(v) & (w) [Omitted by Law Reforms Ordinance, XII of 1972, Sched, item 1]
(2): Words referring to acts: Words which refer to acts done, extend also to illegal
omissions; and
words to have same meaning as in Pakistan Penal Code: All words and expressions
used herein and defined in the Pakistan Penal Code, and not herein before defined, shall
be deemed to have the meanings respectively attributed to them by that Code.","4. Definitions: (1) In this Code the following words and expressions have the following
meanings, unless a different intention appears from the subject or content:-
(a)""Advocate-General”: ""Advocate-General” includes also a Government Advocate or,
where there is no Advocate-General or Government Advocate, such officer as the
Provincial Government may, from time to time, appoint in this behalf.
(b) ""Bailable offence, ""non-bailable offence"": ""Bailable offence"" means an offence
shown as bailable in the Second Schedule or which is made bailable by any other law for
the time being in force; and ""non-bailable offence means any other offence.
(c) Charge: ""Charge"" includes any head of charge when the charge contains more than
one.
(d) [Rep. by Act (XI of 1923), section 3 and Schd. I]
(e) [Omitted by Law Reforms Ordinance (XII of 1972), Schd. Item I].
(f) ''Cognizable offence"" , ""cognizable case"": ""Cognizable offence"" means an offence
for, and cognizable case"" means a ease in which a police officer, may, in accordance with
the second Schedule or under any law for the time being in force, arrest without warrant.
(g) [Rep. by the A.O. 1949]
(h) .''Complaint”: Complaint means the allegation made
orally or in writing to a Magistrate, with a view to his taking action, under this Code that
some person whether known or unknown, has committed an offence, but it does not
include the report of a police officer.
(i) [Rep. by the Act II of 1950]
(j) ""High Court"": ""High Court"" means the highest Court of criminal appeal or revision for a
province,
(k) Inquiry"": ""Inquiry"" includes every inquiry other that a trial conducted under this Code
by a Magistrate or Court.
(l) ""Investigation"": -Investigation"" includes all the proceedings under this Code for the
collection of evidence conducted by a police officer or by any person (other than a
Magistrate) who is authorised by a Magistrate in this behalf.
(m) “Judicial Proceeding"": ""Judicial proceeding"" includes any proceeding in the course
of which evidence is or may be legally taken on oath.
(m-a) ""Magistrate"" means a Judicial Magnate and includes a Special Judicial Magistrate
appointed under Sections 12 and 14.
Clause m-a inserted. by Ordinance, XXXVII of 2001, dt.l3-8-2001.
(n) ""Non-cognizable offence,"" ""Non-cognizable case"": ""Non-cognizable offence means
an offence for, and ""non-cognizable case"" means a case in which a police officer, may not
arrest with our warrant.
(o) ""Offence"": ""Offence"" means any act or omission made punishable by any law for the
time being in force; it also includes any act in respect of which a complainant may be
made under Section 20 of the Cattle Trespass Act, 1871.
(p) ""Officer incharge of a police station"": ""Officer incharge of a police station"" induces,
when the officer incharge of the police station is-absent from tile station house or unable
from illness or cause to perform his duties, the police officer present at the station house
who is next in rank to such officer and is above the rank of constable or when the
Provincial Government so directs, any other police officer so present.
(q) ""Place"": ""Place"" includes also a house, building, tent and vessel.
(r) ""Pleader"": ""Pleader"" used with reference to any proceeding in any Court means a
pleader for a mukhtar authorised under any law for the time being in
force to practise in such Court, and includes (1) an advocate, a vakil and an attorney of a
High Court so authorised and (2) any other .person appointed with permission of the court
to act in such proceeding.
(s) ""Police station"": “Police Station” means any post or place declared, generally or
specially, by the Provincial Government to be a police station, and includes any local area
specified by the Provincial Government in this behalf.
(t) ""Public Prosecutor"": ""Public Prosecutor” means any person appointed under Section
492, and includes any person acting under the directions of a Public Prosecutor and any
person conducting a prosecution on behalf of the State in any High Court in the exercise
of its original criminal jurisdiction.
(u) ""Sub-division"": Sub-division means a sub-division
of a district.
(v) & (w) [Omitted by Law Reforms Ordinance, XII of 1972, Sched, item 1]
(2): Words referring to acts: Words which refer to acts done, extend also to illegal
omissions; and
words to have same meaning as in Pakistan Penal Code: All words and expressions
used herein and defined in the Pakistan Penal Code, and not herein before defined, shall
be deemed to have the meanings respectively attributed to them by that Code.",Official CrPC (verified copy),https://www.fmu.gov.pk/docs/laws/Code_of_criminal_procedure_1898.pdf,2017-02-16
Code of Criminal Procedure 1898,5,Trial of offences under Penal Code,"5. Trial of offences under Penal Code: (1) All offences, under the Pakistan Penal Code
Shall be investigated, enquired into, tried, and otherwise dealt with according to the
provisions hereinafter contained.
(2) Trial of offences against other laws: All offences under any other law shall be
investigated, enquired into, tried, and otherwise dealt with according to the same
provisions, but subject to any enactment for the time being in force regulating the manner
or place of investigating, inquiring into, trying or otherwise dealing with such offences.
PART II
CONSTITUTION AND POWER OF CRIMINAL COURTS AND OFFICES
CHAPTER II
OF THE CONSTITUTION OF CRIMINAL COURTS AND OFFICES
A.------Classes of Criminal Courts","5. Trial of offences under Penal Code: (1) All offences, under the Pakistan Penal Code
Shall be investigated, enquired into, tried, and otherwise dealt with according to the
provisions hereinafter contained.
(2) Trial of offences against other laws: All offences under any other law shall be
investigated, enquired into, tried, and otherwise dealt with according to the same
provisions, but subject to any enactment for the time being in force regulating the manner
or place of investigating, inquiring into, trying or otherwise dealing with such offences.
PART II
CONSTITUTION AND POWER OF CRIMINAL COURTS AND OFFICES
CHAPTER II
OF THE CONSTITUTION OF CRIMINAL COURTS AND OFFICES
A.------Classes of Criminal Courts",Official CrPC (verified copy),https://www.fmu.gov.pk/docs/laws/Code_of_criminal_procedure_1898.pdf,2017-02-16
Code of Criminal Procedure 1898,6,Classes of Criminal Courts and Magistrates,"6. Classes of Criminal Courts and Magistrates: (1) Besides the High Courts and the
Courts constituted under any law other than this Code for the time being in force, there
shall be two classes of Criminal Courts in Pakistan, namely:-
(i) Courts of Session;
(ii) Courts of Magistrate.
[(2) There shall be the following classes of Magistrate, namely:-
(i) Magistrate of the First Class;:
(ii) Magistrate of the Second Class; and
(iii) Magistrate of the Third Class,]
S. 6 subs by them 2 of Punjab Notification No. SO(J-ll) 1-8/75 (P-v), dated ^f-3-1996 for Punjab and by same ltem No. of
Islamabad Notification No. S.R.O. 255(1)/96. dated ;8-4""1996 for Islamabad only.
Sub Section (2) Subs. by Ordinance, XXXVII of 2001, dt.l3-8-2001.
B.----Territorial Divisions","6. Classes of Criminal Courts and Magistrates: (1) Besides the High Courts and the
Courts constituted under any law other than this Code for the time being in force, there
shall be two classes of Criminal Courts in Pakistan, namely:-
(i) Courts of Session;
(ii) Courts of Magistrate.
[(2) There shall be the following classes of Magistrate, namely:-
(i) Magistrate of the First Class;:
(ii) Magistrate of the Second Class; and
(iii) Magistrate of the Third Class,]
S. 6 subs by them 2 of Punjab Notification No. SO(J-ll) 1-8/75 (P-v), dated ^f-3-1996 for Punjab and by same ltem No. of
Islamabad Notification No. S.R.O. 255(1)/96. dated ;8-4""1996 for Islamabad only.
Sub Section (2) Subs. by Ordinance, XXXVII of 2001, dt.l3-8-2001.
B.----Territorial Divisions",Official CrPC (verified copy),https://www.fmu.gov.pk/docs/laws/Code_of_criminal_procedure_1898.pdf,2017-02-16
Code of Criminal Procedure 1898,7,Sessions divisions and districts,"7. Sessions divisions and districts: (1) Each Province shall consist of sessions
divisions; and every sessions division shall, for the purposes of this Code, be a district or
consist of districts.
(2) Power to alter divisions and districts: The Provincial Government may alter
the limits or the number of such divisions and districts.
(3) Existing divisions and districts maintained till altered: The sessions
divisions and districts existing when this Code comes into force shall be sessions divisions
and districts respectively, unless and until they are so altered.
(4) [Repeated by the Federal Laws (Revision and Declaration) Act, XXVI of 1951,
Section 3 and II Sched.]","7. Sessions divisions and districts: (1) Each Province shall consist of sessions
divisions; and every sessions division shall, for the purposes of this Code, be a district or
consist of districts.
(2) Power to alter divisions and districts: The Provincial Government may alter
the limits or the number of such divisions and districts.
(3) Existing divisions and districts maintained till altered: The sessions
divisions and districts existing when this Code comes into force shall be sessions divisions
and districts respectively, unless and until they are so altered.
(4) [Repeated by the Federal Laws (Revision and Declaration) Act, XXVI of 1951,
Section 3 and II Sched.]",Official CrPC (verified copy),https://www.fmu.gov.pk/docs/laws/Code_of_criminal_procedure_1898.pdf,2017-02-16
Code of Criminal Procedure 1898,8,Power to divide districts into sub-divisions,"8. Power to divide districts into sub-divisions: (1) The Provincial Government may
divide any district into sub-divisions, or make any portions of any such district a sub-
division and may alter the limits of any sub-division.
(2) [Omitted by the Ordinance XXXVII of 2001 dt. 13-8-2001.]
C. —Courts and offices","8. Power to divide districts into sub-divisions: (1) The Provincial Government may
divide any district into sub-divisions, or make any portions of any such district a sub-
division and may alter the limits of any sub-division.
(2) [Omitted by the Ordinance XXXVII of 2001 dt. 13-8-2001.]
C. —Courts and offices",Official CrPC (verified copy),https://www.fmu.gov.pk/docs/laws/Code_of_criminal_procedure_1898.pdf,2017-02-16
Code of Criminal Procedure 1898,9,Court of Session,"9. Court of Session: (1) The Provincial .Government shall establish a Court of Session
for every sessions division, and appoint a Judge of such Court.
(2) The Provincial Government may, by general or special order in the official
Gazette, direct at what place or places the Court of Session shall hold its sitting; but, until
such order is made, the Courts of Session shall Hold their sittings as heretofore.
(3) The Provincial Government may also appoint Additional Sessions Judges and
Assistant ,Sessions Judges to exercise jurisdiction in one or more such Courts. '
(4) A Sessions Judge of one sessions division may be appointed by the Provincial
Government to be also an Additional Sessions Judge of another division, and in such case
he may sit for the disposal of case at such place or places in either division as the
Provincial Government may direct.
(5) All Courts of Session existing when this Code comes into force shall be deemed
to have been established under this Act.","9. Court of Session: (1) The Provincial .Government shall establish a Court of Session
for every sessions division, and appoint a Judge of such Court.
(2) The Provincial Government may, by general or special order in the official
Gazette, direct at what place or places the Court of Session shall hold its sitting; but, until
such order is made, the Courts of Session shall Hold their sittings as heretofore.
(3) The Provincial Government may also appoint Additional Sessions Judges and
Assistant ,Sessions Judges to exercise jurisdiction in one or more such Courts. '
(4) A Sessions Judge of one sessions division may be appointed by the Provincial
Government to be also an Additional Sessions Judge of another division, and in such case
he may sit for the disposal of case at such place or places in either division as the
Provincial Government may direct.
(5) All Courts of Session existing when this Code comes into force shall be deemed
to have been established under this Act.",Official CrPC (verified copy),https://www.fmu.gov.pk/docs/laws/Code_of_criminal_procedure_1898.pdf,2017-02-16
Code of Criminal Procedure 1898,10,[Omitted by the Ordinance XXXVII of 2001dt. 13-8-2001.],10. [Omitted by the Ordinance XXXVII of 2001dt. 13-8-2001.],10. [Omitted by the Ordinance XXXVII of 2001dt. 13-8-2001.],Official CrPC (verified copy),https://www.fmu.gov.pk/docs/laws/Code_of_criminal_procedure_1898.pdf,2017-02-16
